SKU,Model,RSP,ETA_Almaty
4513812,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18 Li-Solo (4513812),47600.0,
4431166,Аккум. Углошлифмашина Einhell TE-AG 18/115-2 Li - Solo (4431166),39900.0,
4465170,Аккум. Реноватор Einhell TC-MG 18 Li-Solo (4465170),29900.0,
4513925,Аккум. Шуруповерт Einhell TE-CD 18/40 Li-Solo (4513925),27200.0,
4514255,"Аккум. Шуруповерт Einhell TC-CD 18/35-2 Li (1x1,5 Ah) (4514255)",39900.0,
4514231,"Аккум. Шуруповерт Einhell TE-CD 18/2 Li (2x2,0 Ah) (4514231)",53200.0,
4513939,"Аккум. Шуруповерт Einhell TE-CD 18/40-1 Li (2x1,5 Ah) (4513939)",54900.0,
4513942,Аккум. Ударный Шуруповерт Einhell TP-CD 18/50 Li-i BL-Solo (4513942),47600.0,24.11.2025
4510034,Аккум. Винтоверт Einhell TE-CI 18/1 Li-Solo (4510034),37400.0,24.11.2025
4331220,Аккум. Циркулярная пила Einhell TE-CS 18/150 Li - Solo (4331220),45400.0,24.11.2025
4321209,Аккум. Лобзик Einhell TC-JS 18 Li - Solo (4321209),29200.0,24.11.2025
4326300,Аккум. Сабельная пила Einhell TE-AP 18/22 Li-Solo (4326300),39900.0,
4460725,Аккум. Виброшлифмашина Einhell TC-OS 18/187 Li Solo (4460725),29900.0,
4430971,Сетев. Углошлифмашина Einhell TC-AG 125/850 (4430971),20800.0,
4430977,Сетев. Углошлифмашина Einhell TC-AG 125/850 Kit (4430977),39000.0,
4257238,Комплект инструментов (Шуруповерт + Угловая шлифмашина) Einhell TC-TK 18 Li Kit (4257238),95200.0,
4257242,Комплект инструментов (Шуруповерт + Угловая шлифмашина + Перфоратор) Einhell TE-TK 18/3 Li +2 (CD+AG+HD) (4257242),170000.0,
4300890,Аккум. Торцовочная пила Einhell TE-MS 18/210 Li-Solo (4300890),99000.0,24.11.2025
4340450,Аккум. Настольная пила Einhell TE-TS 36/210 Li-Solo (4340450),156400.0,24.11.2025
4020415,Аккум. Компрессор Einhell TE-AC 36/150 Li OF-Solo (4020415),119000.0,
4257990,Сетев. Перфоратор SDS-Plus Einhell TC-RH 620 4F (4257990),45900.0,24.11.2025
4258237,Сетев. Перфоратор SDS-Plus Einhell TC-RH 900 (4258237),54300.0,24.11.2025
4258508,Сетев. Перфоратор SDS-Plus Einhell TE-RH 32-1600 4F (4258508),68200.0,16.12.2025
4259848,Сетев. Ударная дрель Einhell TC-ID 720/1 E (4259848),31100.0,24.11.2025
4258621,Сетев. Ударная дрель Einhell TC-ID 550 E (4258621),23300.0,
4465155,Сетев. Реноватор Einhell TE-MG 350 EQ (4465155),54400.0,24.11.2025
4350474,Сетев. Фрезер Einhell TC-RO 1155 Kit (4350474),54400.0,
4331040,Сетев. Циркулярная пила Einhell TC-CS 1250 (4331040),40800.0,
4321157,Сетев. Лобзик Einhell TC-JS 80/1 Kit (4321157),34000.0,
4321135,Сетев. Лобзик Einhell TC-JS 60/1 (4321135),19900.0,
4326161,Сетев. Сабельная пила Einhell TC-AP 690 E (4326161),27200.0,
4326170,Сетев. Сабельная пила Einhell TE-AP 750 E (4326170),37400.0,
4419169,Сетев. Гравер Einhell TC-MG 135 E (4419169),29800.0,
4300390,Сетев. Торцовочная пила Einhell TC-SM 2131/2 Dual (4300390),99000.0,
4340510,Сетев. Настольная пила Einhell TC-TS 254 U (4340510),108800.0,24.11.2025
4007325,Сетев. Компрессор Einhell TC-AC 190/24/8 (4007325),81600.0,
4007332,Сетев. Компрессор Einhell TC-AC 190/50/8 (4007332),99000.0,
2342167,Сетев. Пылесос Einhell TC-VC 1820 S (2342167),32600.0,
4511489,"Аккумулятор Einhell 2x18V 4,0Ah PXC-Twinpack CB 1 (4511489)",39000.0,24.11.2025
4512097,"Зарядное устройство в комплекте Einhell 18V 2,5Ah PXC Starter Kit (4512097)",12900.0,
4512042,"Зарядное устройство в комплекте Einhell 18V 4,0Ah PXC Starter Kit 1 (4512042)",23400.0,16.12.2025
4512114,"Зарядное устройство в комплекте Einhell 5,2Ah & 4A Fastcharger (4512114)",45500.0,
4512112,"Зарядное устройство в комплекте Einhell 2x 4,0Ah & Twincharger Kit 1 (4512112)",65000.0,16.12.2025
4512143,Зарядное устройство в комплекте Einhell 18V 4-6Ah & 6A Boostcharger (4512143),65000.0,
4513900,Аккум. Перфоратор SDS-Plus Einhell HEROCCO 18/20 - Solo (4513900),82900.0,24.11.2025
4513950,Аккум. Перфоратор SDS-Plus Einhell HEROCCO 36/28 - Solo (4513950),183600.0,
4513970,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18/12 Li - Solo (4513970),67900.0,
4513983,Аккум. Перфоратор SDS-Plus Einhell TP-HD 36/30 Li BL +4 - Solo (4513983),204000.0,
4514260,Аккум. Перфоратор SDS-Plus Einhell TE-HD 18/20 Li - Solo (4514260),88400.0,24.11.2025
4514265,Аккум. Перфоратор SDS-Plus Einhell TP-HD 18/26 Li BL - Solo (4514265),118200.0,
4514270,Аккум. Перфоратор SDS-Plus Einhell TP-HD 18/26 D Li BL - Solo (4514270),118200.0,24.11.2025
