SKU,Qty
1002215,5
1002225,5
1002245,5
1002275,5
2270109,30
3400080,48
3403370,8
3403460,10
3410313,10
3410920,10
3413226,7
3413246,2
4007325,5
4020430,5
4132720,10
4132900,10
4139099,12
4257940,44
4257978,52
4257990,50
4258508,80
4258561,20
4258760,10
4259848,10
4259930,70
4259945,5
4301185,5
4308018,5
4309040,3
4321135,15
4326180,72
4331005,10
4331050,20
4331300,60
4412632,5
4430619,50
4430860,50
4431140,50
4431160,20
4462005,20
4462020,56
4465155,10
4466260,10
4503139,10
4512042,504
4512097,276
4512112,120
4512114,60
4513887,70
4513970,30
4513990,50
4513997,50
4514300,50
4514320,64
