SKU,Qty
2030365,7
2070110,15
2071010,2
2260112,4
2260160,2
2333110,4
2333120,3
2342167,39
2342475,8
2347120,20
2347180,6
2347190,6
2351113,10
2351132,8
2351152,13
2351165,7
2351170,17
2351661,5
2352040,3
3400257,27
3402022,7
3404553,3
3405075,13
3405451,5
3405730,47
3405736,56
3408017,9
3408035,15
3408300,2
3410310,1
3410365,5
3410382,4
3410502,4
3410506,5
3410581,4
3410642,8
3410805,5
3410866,3
3410920,3
3410930,3
3410940,5
3411172,17
3411197,18
3411212,20
3413054,1
3413155,29
3413230,7
3413246,3
3413266,6
3413275,3
3414114,47
3415410,6
3420604,2
3424050,3
3424051,5
3425220,6
3425240,17
3431060,1
3433370,11
3433532,2
3433630,7
3437100,21
4007332,5
4132741,2
4139087,2
4140135,4
4140740,3
4140760,22
4152535,3
4152551,3
4170682,4
4180400,2
4180440,8
4181500,1
4257990,5
4258237,3
4258508,12
4258621,3
4258682,5
4259930,3
4259955,6
4259960,5
4259980,1
4260005,5
4260010,5
4260015,4
4260020,4
4260025,6
4300295,9
4300370,5
4300380,8
4300395,3
4300805,5
4321135,7
4321157,3
4321209,21
4321228,5
4321265,1
4326300,27
4326310,7
4331005,4
4340450,5
4340510,7
4340515,2
4345400,7
4345405,6
4350410,5
4350412,19
4350490,3
4418008,2
4419169,12
4419360,5
4430880,5
4430971,26
4430977,5
4431051,5
4460560,3
4460640,5
4460720,0
4460725,15
4461000,5
4462010,4
4465170,7
4465185,9
4466154,3
4466260,5
4466270,2
4500067,2
4502118,4
4510030,3
4510034,10
4510040,3
4510070,3
4510080,3
4510151,1
4511437,13
4511489,172
4511501,3
4511618,3
4511627,10
4511629,19
4512042,148
4512097,386
4512103,11
4512112,79
4512114,32
4512143,41
4512159,20
4513442,17
4513660,6
4513812,18
4513830,9
4513846,18
4513896,13
4513925,21
4513935,5
4513939,101
4513940,9
4513942,10
4513957,11
4513960,5
4513970,5
4513990,19
4513992,16
4514114,5
4514120,35
4514130,11
4514145,5
4514150,52
4514155,14
4514172,4
4514220,11
4514260,5
4514265,5
4514290,7
4530054,9
4530074,35
4540011,52
4540012,6
4540013,11
4540014,9
4540019,5
4540020,3
4540040,8
49108801,3
49455250,3
49491005,3
49491006,12
49491065,3
49491066,3
49491075,4
49492074,3
49492874,13
49568315,13
49587861,9
49589341,9
49589351,9
49708750,3
49758941,30
49910805,3
49914605,8
